Date Purchased,Quantity,Card,Player,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Ladder ID,Slab Serial #,Population,Notes
12/28/2021,1,2021-22 Panini NBA Sticker & Card Collection  Anthony Davis European Edition Card #370 Raw,Anthony Davis,2021-22,Panini NBA Sticker & Card Collection ,European Edition Card,370,Basketball,Raw,22,476.70,454.70,,,,
12/28/2021,1,2021-22 Panini NBA Sticker & Card Collection Shai Gilgeous-Alexander European Edition Card #423 Raw,Shai Gilgeous-Alexander,2021-22,Panini NBA Sticker & Card Collection,European Edition Card,423,Basketball,Raw,22,1695.81,1673.81,,,,
12/27/2021,1,2021-22 Panini NBA Sticker & Card Collection  Dillon Brooks European Edition Sticker #380 Raw,Dillon Brooks,2021-22,Panini NBA Sticker & Card Collection ,European Edition Sticker,380,Basketball,Raw,12,479.17,467.17,,,,
12/23/2021,1,2021-22 Panini NBA Sticker & Card Collection Giannis Antetokounmpo European Edition All Star Sticker #32 Raw,Giannis Antetokounmpo,2021-22,Panini NBA Sticker & Card Collection,European Edition All Star Sticker,32,Basketball,Raw,35,11.71,-23.29,,,,
12/30/2020,1,2020 Donruss Optic  Christian Wood Fast Break Red  #11 Raw,Christian Wood,2020,Donruss Optic ,Fast Break Red ,11,Basketball,Raw,15,67.71,52.71,,,,
12/04/2018,2,2018 Panini Revolution LeBron James #40 PSA 10,LeBron James,2018,Panini Revolution,,40,Basketball,PSA 10,30,1939.29,1879.29,,61863825,,
12/18/2020,1,2020 Donruss Optic Kevin Porter Jr. Fast Break Red #115 Raw,Kevin Porter Jr.,2020,Donruss Optic,Fast Break Red,115,Basketball,Raw,70,271.94,201.94,,,,
12/29/2020,1,2020 Donruss Optic  Ricky Rubio Fast Break Red #138 Raw,Ricky Rubio,2020,Donruss Optic ,Fast Break Red,138,Basketball,Raw,29,2289.04,2260.04,,,,
12/04/2021,1,2021-22 Panini NBA Sticker & Card Collection Kawhi  Leonard European Edition Sticker #356 Raw,Kawhi  Leonard,2021-22,Panini NBA Sticker & Card Collection,European Edition Sticker,356,Basketball,Raw,22,1021.16,999.16,,,,
12/28/2022,1,2022 Select Draft Picks Jalen Tolbert Rk.Sig-Gold Lzr.Prz. #RSJTO PSA 9/Auto 10,Jalen Tolbert,2022,Select Draft Picks,Rk.Sig-Gold Lzr.Prz.,RSJTO,Football,PSA 9/Auto 10,3500,14569.00,11069.00,,72388608,1,
12/28/2022,1,2022-23 Panini Prizm Draft Picks  Anthony Black Signatures Prizm Green #FS-ABL SGC 9.5/Auto 10,Anthony Black,2022-23,Panini Prizm Draft Picks ,Signatures Prizm Green,FS-ABL,Basketball,SGC 9.5/Auto 10,150,1721.97,1571.97,,2575433,1,
02/08/2023,1,2022 Bowman Inception  Harry Ford Primordial Prospect Autograpghs #PPA-HF Raw,Harry Ford,2022,Bowman Inception ,Primordial Prospect Autograpghs,PPA-HF,Baseball,Raw,100,295.88,195.88,,,,11/75
07/08/2021,1,2021-22 Topps Project 70 Mike Trout PR8459 #64 Raw,Mike Trout,2021-22,Topps Project 70,PR8459,64,Baseball,Raw,50,264.04,214.04,,,,
12/29/2022,1,2022 Panini Select Draft Picks Trey Lance Gold Lazer Prizm #40 BGS 9.5,Trey Lance,2022,Panini Select Draft Picks,Gold Lazer Prizm,40,Football,BGS 9.5,432.16,393.55,-38.61,,BAC001888720,1,
